,,,GWP_supply
Electricity,1,1,0.250807
Electricity,1,2,0.244719
Electricity,1,3,0.21599700000000002
Electricity,1,4,0.201138
Electricity,1,5,0.18854200000000002
Electricity,1,6,0.194583
Electricity,1,7,0.21689599999999998
Electricity,1,8,0.2154
Electricity,1,9,0.21362799999999998
Electricity,1,10,0.225458
Electricity,1,11,0.223261
Electricity,1,12,0.237185
Electricity,1,13,0.217748
Electricity,1,14,0.21105900000000002
Electricity,1,15,0.21236600000000003
Electricity,1,16,0.192721
Electricity,1,17,0.170183
Electricity,1,18,0.157986
Electricity,1,19,0.18072300000000002
Electricity,1,20,0.184863
Electricity,1,21,0.22890100000000002
Electricity,1,22,0.227618
Electricity,1,23,0.254653
Electricity,1,24,0.255529
Electricity,2,1,0.161892
Electricity,2,2,0.167305
Electricity,2,3,0.17069099999999998
Electricity,2,4,0.159721
Electricity,2,5,0.163944
Electricity,2,6,0.15881399999999998
Electricity,2,7,0.18162299999999998
Electricity,2,8,0.234638
Electricity,2,9,0.258712
Electricity,2,10,0.244001
Electricity,2,11,0.249545
Electricity,2,12,0.244555
Electricity,2,13,0.241989
Electricity,2,14,0.248297
Electricity,2,15,0.239267
Electricity,2,16,0.25086600000000003
Electricity,2,17,0.230553
Electricity,2,18,0.228041
Electricity,2,19,0.23386500000000002
Electricity,2,20,0.245673
Electricity,2,21,0.23617
Electricity,2,22,0.222685
Electricity,2,23,0.202305
Electricity,2,24,0.22191
Electricity,3,1,0.185195
Electricity,3,2,0.182226
Electricity,3,3,0.177175
Electricity,3,4,0.168125
Electricity,3,5,0.155585
Electricity,3,6,0.158369
Electricity,3,7,0.16592099999999999
Electricity,3,8,0.195543
Electricity,3,9,0.194637
Electricity,3,10,0.211401
Electricity,3,11,0.192462
Electricity,3,12,0.180308
Electricity,3,13,0.18428
Electricity,3,14,0.16843400000000003
Electricity,3,15,0.15433700000000003
Electricity,3,16,0.147386
Electricity,3,17,0.15127200000000002
Electricity,3,18,0.17096
Electricity,3,19,0.183023
Electricity,3,20,0.181177
Electricity,3,21,0.18426900000000002
Electricity,3,22,0.16681
Electricity,3,23,0.171368
Electricity,3,24,0.16605099999999998
Electricity,4,1,0.13155100000000003
Electricity,4,2,0.130243
Electricity,4,3,0.127336
Electricity,4,4,0.127597
Electricity,4,5,0.125259
Electricity,4,6,0.138159
Electricity,4,7,0.166078
Electricity,4,8,0.22254300000000002
Electricity,4,9,0.245773
Electricity,4,10,0.235713
Electricity,4,11,0.224069
Electricity,4,12,0.209012
Electricity,4,13,0.17540099999999997
Electricity,4,14,0.143951
Electricity,4,15,0.13479399999999997
Electricity,4,16,0.13302100000000003
Electricity,4,17,0.14713800000000002
Electricity,4,18,0.156398
Electricity,4,19,0.206491
Electricity,4,20,0.22024100000000002
Electricity,4,21,0.181519
Electricity,4,22,0.16177100000000003
Electricity,4,23,0.18246500000000002
Electricity,4,24,0.162934
Electricity,5,1,0.180225
Electricity,5,2,0.186999
Electricity,5,3,0.191882
Electricity,5,4,0.1885
Electricity,5,5,0.197036
Electricity,5,6,0.21883900000000003
Electricity,5,7,0.228855
Electricity,5,8,0.250674
Electricity,5,9,0.250475
Electricity,5,10,0.23047
Electricity,5,11,0.21628
Electricity,5,12,0.215864
Electricity,5,13,0.20702500000000001
Electricity,5,14,0.18634
Electricity,5,15,0.182535
Electricity,5,16,0.19334800000000002
Electricity,5,17,0.187487
Electricity,5,18,0.202215
Electricity,5,19,0.221002
Electricity,5,20,0.203557
Electricity,5,21,0.18334299999999998
Electricity,5,22,0.16890799999999997
Electricity,5,23,0.14977000000000001
Electricity,5,24,0.155243
Electricity,6,1,0.150926
Electricity,6,2,0.15553999999999998
Electricity,6,3,0.15301900000000002
Electricity,6,4,0.12626600000000002
Electricity,6,5,0.139125
Electricity,6,6,0.15628299999999998
Electricity,6,7,0.17236600000000002
Electricity,6,8,0.19734100000000002
Electricity,6,9,0.204691
Electricity,6,10,0.199907
Electricity,6,11,0.222862
Electricity,6,12,0.21871600000000002
Electricity,6,13,0.178872
Electricity,6,14,0.151506
Electricity,6,15,0.157506
Electricity,6,16,0.153074
Electricity,6,17,0.168197
Electricity,6,18,0.210648
Electricity,6,19,0.24528999999999998
Electricity,6,20,0.254602
Electricity,6,21,0.237642
Electricity,6,22,0.231754
Electricity,6,23,0.238936
Electricity,6,24,0.194458
Electricity,7,1,0.042412
Electricity,7,2,0.06444
Electricity,7,3,0.067475
Electricity,7,4,0.063886
Electricity,7,5,0.059021000000000004
Electricity,7,6,0.056902
Electricity,7,7,0.061543999999999995
Electricity,7,8,0.065148
Electricity,7,9,0.060414
Electricity,7,10,0.06498999999999999
Electricity,7,11,0.07255800000000001
Electricity,7,12,0.07661799999999999
Electricity,7,13,0.081562
Electricity,7,14,0.084754
Electricity,7,15,0.08251299999999999
Electricity,7,16,0.080915
