,,,GWP_supply
Electricity,1,1,0.258
Electricity,1,2,0.245
Electricity,1,3,0.241
Electricity,1,4,0.2239999999999999
Electricity,1,5,0.218
Electricity,1,6,0.24
Electricity,1,7,0.314
Electricity,1,8,0.482
Electricity,1,9,0.494
Electricity,1,10,0.497
Electricity,1,11,0.462
Electricity,1,12,0.44
Electricity,1,13,0.384
Electricity,1,14,0.374
Electricity,1,15,0.431
Electricity,1,16,0.451
Electricity,1,17,0.498
Electricity,1,18,0.556
Electricity,1,19,0.638
Electricity,1,20,0.633
Electricity,1,21,0.513
Electricity,1,22,0.324
Electricity,1,23,0.286
Electricity,1,24,0.288
Electricity,2,1,0.3829999999999999
Electricity,2,2,0.353
Electricity,2,3,0.346
Electricity,2,4,0.324
Electricity,2,5,0.324
Electricity,2,6,0.318
Electricity,2,7,0.413
Electricity,2,8,0.562
Electricity,2,9,0.5539999999999999
Electricity,2,10,0.5760000000000001
Electricity,2,11,0.5820000000000001
Electricity,2,12,0.585
Electricity,2,13,0.563
Electricity,2,14,0.5479999999999999
Electricity,2,15,0.5670000000000001
Electricity,2,16,0.585
Electricity,2,17,0.601
Electricity,2,18,0.6409999999999999
Electricity,2,19,0.625
Electricity,2,20,0.5
Electricity,2,21,0.377
Electricity,2,22,0.332
Electricity,2,23,0.3339999999999999
Electricity,2,24,0.324
Electricity,3,1,0.264
Electricity,3,2,0.259
Electricity,3,3,0.256
Electricity,3,4,0.254
Electricity,3,5,0.252
Electricity,3,6,0.259
Electricity,3,7,0.315
Electricity,3,8,0.428
Electricity,3,9,0.513
Electricity,3,10,0.466
Electricity,3,11,0.426
Electricity,3,12,0.429
Electricity,3,13,0.476
Electricity,3,14,0.4429999999999999
Electricity,3,15,0.397
Electricity,3,16,0.392
Electricity,3,17,0.39
Electricity,3,18,0.3929999999999999
Electricity,3,19,0.457
Electricity,3,20,0.506
Electricity,3,21,0.4679999999999999
Electricity,3,22,0.3879999999999999
Electricity,3,23,0.3779999999999999
Electricity,3,24,0.372
Electricity,4,1,0.46
Electricity,4,2,0.4589999999999999
Electricity,4,3,0.445
Electricity,4,4,0.447
Electricity,4,5,0.431
Electricity,4,6,0.431
Electricity,4,7,0.487
Electricity,4,8,0.537
Electricity,4,9,0.555
Electricity,4,10,0.5539999999999999
Electricity,4,11,0.532
Electricity,4,12,0.501
Electricity,4,13,0.4629999999999999
Electricity,4,14,0.422
Electricity,4,15,0.397
Electricity,4,16,0.37
Electricity,4,17,0.354
Electricity,4,18,0.357
Electricity,4,19,0.462
Electricity,4,20,0.527
Electricity,4,21,0.4
Electricity,4,22,0.367
Electricity,4,23,0.3979999999999999
Electricity,4,24,0.401
Electricity,5,1,0.358
Electricity,5,2,0.364
Electricity,5,3,0.367
Electricity,5,4,0.351
Electricity,5,5,0.357
Electricity,5,6,0.377
Electricity,5,7,0.415
Electricity,5,8,0.496
Electricity,5,9,0.5429999999999999
Electricity,5,10,0.525
Electricity,5,11,0.503
Electricity,5,12,0.483
Electricity,5,13,0.46
Electricity,5,14,0.441
Electricity,5,15,0.428
Electricity,5,16,0.431
Electricity,5,17,0.418
Electricity,5,18,0.44
Electricity,5,19,0.471
Electricity,5,20,0.462
Electricity,5,21,0.4589999999999999
Electricity,5,22,0.4529999999999999
Electricity,5,23,0.446
Electricity,5,24,0.4639999999999999
Electricity,6,1,0.5770000000000001
Electricity,6,2,0.589
Electricity,6,3,0.5870000000000001
Electricity,6,4,0.562
Electricity,6,5,0.5660000000000001
Electricity,6,6,0.597
Electricity,6,7,0.649
Electricity,6,8,0.7
Electricity,6,9,0.716
Electricity,6,10,0.713
Electricity,6,11,0.731
Electricity,6,12,0.727
Electricity,6,13,0.6990000000000001
Electricity,6,14,0.6859999999999999
Electricity,6,15,0.685
Electricity,6,16,0.674
Electricity,6,17,0.675
Electricity,6,18,0.708
Electricity,6,19,0.76
Electricity,6,20,0.7609999999999999
Electricity,6,21,0.747
Electricity,6,22,0.741
Electricity,6,23,0.7509999999999999
Electricity,6,24,0.7040000000000001
Electricity,7,1,0.34
Electricity,7,2,0.365
Electricity,7,3,0.389
Electricity,7,4,0.4029999999999999
Electricity,7,5,0.366
Electricity,7,6,0.35
Electricity,7,7,0.349
Electricity,7,8,0.371
Electricity,7,9,0.374
